word,score
refer,4
refit,3
regal,3
rehab,4
reign,3
relax,3
relay,3
relic,3
remit,4
renal,3
renew,3
repay,4
repel,3
reply,4
rerun,4
reset,3
resin,3
retch,4
retro,4
retry,4
reuse,3
revel,3
revue,4
rhino,4
rhyme,4
rider,3
ridge,3
rifle,4
right,3
rigid,4
rigor,4
rinse,3
ripen,3
riper,3
risen,3
riser,3
risky,4
rival,4
river,4
rivet,3
roach,4
roast,3
robin,4
robot,4
rocky,4
rodeo,3
roger,3
rogue,4
roomy,4
roost,3
rotor,4
rouge,4
rough,3
round,3
rouse,3
route,4
rover,4
rowdy,3
rower,3
royal,3
ruddy,3
ruder,4
rugby,4
ruler,3
rumba,3
rumor,4
rupee,4
rural,4
rusty,3
sadly,2
safer,2
saint,2
salad,3
sally,3
salon,3
salsa,3
salty,2
salve,2
salvo,3
sandy,3
saner,3
sappy,3
sassy,3
satin,2
satyr,3
sauce,2
saucy,3
sauna,3
saute,2
savor,3
savoy,3
savvy,4
scald,3
scale,2
scalp,4
scaly,5
scamp,3
scant,3
scare,3
scarf,3
scary,4
scene,3
scent,2
scion,4
scoff,4
scold,4
scone,4
scoop,3
scope,3
score,4
scorn,3
scour,3
scout,3
scowl,4
scram,3
scrap,3
scree,3
screw,3
scrub,3
scrum,4
scuba,3
sedan,3
seedy,3
segue,4
seize,3
semen,3
sense,3
sepia,3
serif,3
serum,4
serve,4
setup,3
seven,4
sever,3
sewer,3
shack,3
shade,3
shady,3
shaft,3
shake,4
shaky,4
shale,3
shall,3
shalt,2
shame,3
shank,4
shape,3
shard,3
share,3
shark,4
sharp,3
shave,5
shawl,3
shear,3
sheen,3
sheep,4
sheer,3
sheet,2
sheik,3
shelf,3
shell,4
shied,3
shift,3
shine,3
shiny,3
shire,3
shirk,3
shirt,3
shoal,4
shock,3
shone,4
shook,4
shoot,4
shore,4
shorn,4
short,4
shout,3
shove,4
shown,3
showy,4
shrew,3
shrub,4
shrug,4
shuck,3
shunt,3
shush,4
shyly,3
siege,3
sieve,4
sight,3
sigma,3
silky,2
silly,3
since,3
sinew,3
singe,4
siren,3
sissy,3
sixth,3
sixty,4
skate,3
skier,4
skiff,4
skill,3
skimp,3
skirt,3
skulk,3
skull,3
skunk,4
slack,3
slain,3
slang,3
slant,3
slash,3
slate,2
slave,3
sleek,2
sleep,3
sleet,2
slept,2
slice,3
slick,3
slide,3
slime,3
slimy,3
sling,3
slink,3
sloop,4
slope,3
slosh,3
sloth,2
slump,3
slung,3
slunk,3
slurp,4
slush,4
slyly,4
smack,3
small,3
smart,3
smash,3
smear,3
smell,3
smelt,3
smile,3
smirk,4
smite,3
smith,3
smock,4
smoke,3
smoky,4
smote,3
snack,4
snail,3
snake,3
snaky,4
snare,4
snarl,3
sneak,4
sneer,3
snide,3
sniff,3
snipe,3
snoop,3
snore,3
snort,3
snout,3
snowy,3
snuck,3
snuff,4
soapy,4
sober,4
soggy,4
solar,2
solid,3
solve,2
sonar,3
sonic,3
sooth,4
sooty,3
sorry,3
sound,4
south,4
sower,3
space,3
spade,4
spank,3
spare,3
spark,3
spasm,3
spawn,4
speak,4
spear,3
speck,3
speed,3
spell,3
spelt,3
spend,3
spent,3
sperm,3
spice,3
spicy,3
spied,3
spiel,3
spike,3
spiky,4
spill,3
spilt,2
spine,3
spiny,3
spire,3
spite,3
splat,2
split,2
spoil,3
spoke,3
spoof,3
spook,4
spool,3
spoon,3
spore,4
sport,4
spout,3
spray,3
spree,4
sprig,3
spunk,3
spurn,3
spurt,3
squad,3
squat,3
squib,3
stack,3
staff,3
stage,3
staid,3
stain,3
stair,3
stake,3
stale,3
stalk,2
stall,3
stamp,3
stand,3
stank,3
stare,3
stark,3
start,3
stash,4
state,3
stave,4
stead,3
steak,3
steal,3
steam,4
steed,2
steel,2
steep,3
steer,4
stein,3
stern,3
stick,3
stiff,4
still,3
stilt,3
sting,3
stink,3
stint,3
stock,3
stoic,3
stoke,3
stole,2
stomp,3
stone,3
stony,3
stood,4
stool,3
stoop,4
store,3
stork,4
storm,4
story,4
stout,4
stove,4
strap,3
straw,3
stray,4
strip,3
strut,3
stuck,3
study,3
stuff,4
stump,3
stung,3
stunk,3
stunt,3
style,3
suave,4
sugar,4
suing,3
suite,4
sulky,3
sully,3
sumac,3
sunny,4
super,4
surer,4
surge,4
surly,4
sushi,3
swami,3
swamp,3
swarm,3
swash,4
swath,4
swear,3
sweat,2
sweep,3
sweet,3
swell,4
swept,3
swift,3
swill,3
swine,4
swing,4
swirl,4
swish,4
swoon,4
swoop,4
sword,3
swore,4
sworn,5
swung,4
synod,4
syrup,3
tabby,3
table,3
taboo,4
tacit,3
tacky,3
taffy,4
taint,3
taken,3
taker,3
tally,2
talon,3
tamer,4
tango,4
tangy,4
taper,5
tapir,3
tardy,4
tarot,3
taste,4
tasty,3
tatty,5
taunt,3
tawny,4
teach,3
teary,3
tease,2
teddy,3
teeth,3
tempo,4
tenet,3
tenor,3
tense,3
tenth,4
tepee,3
tepid,3
terra,4
terse,3
testy,3
thank,3
theft,4
their,3
theme,3
there,3
these,3
theta,3
thick,4
thief,3
thigh,4
thing,3
think,4
third,3
thong,3
thorn,3
those,3
three,3
threw,4
throb,3
throw,4
thrum,3
thumb,4
thump,4
thyme,4
tiara,3
tibia,3
tidal,3
tiger,4
tight,5
tilde,2
timer,3
timid,3
tipsy,3
titan,3
tithe,3
title,2
toast,3
today,3
toddy,4
token,3
tonal,3
tonga,3
tonic,3
tooth,4
topaz,4
topic,3
torch,3
torso,3
torus,3
total,3
totem,3
touch,4
tough,4
towel,3
tower,3
toxic,4
toxin,4
trace,3
track,3
tract,3
trade,4
trail,3
train,3
trait,4
tramp,3
trash,3
trawl,4
tread,3
treat,4
trend,3
triad,4
trial,3
tribe,3
trice,4
trick,3
tried,3
tripe,5
trite,2
troll,2
troop,4
trope,3
trout,3
trove,4
truce,4
truck,4
truer,3
truly,3
trump,4
trunk,3
truss,3
trust,4
truth,3
tryst,4
tubal,4
tuber,4
tulip,3
tulle,3
tumor,3
tunic,3
turbo,3
tutor,4
twang,4
tweak,3
tweed,4
tweet,3
twice,3
twine,4
twirl,3
twist,3
twixt,3
tying,4
udder,4
ulcer,4
ultra,3
umbra,4
uncle,4
uncut,3
under,4
undid,4
undue,4
unfed,4
unfit,3
unify,4
union,4
unite,4
unity,4
unlit,3
unmet,3
unset,3
untie,4
until,3
unwed,3
unzip,4
upper,4
upset,3
urban,3
urine,4
usage,3
usher,3
using,3
usual,3
usurp,4
utile,3
utter,4
vague,3
valet,2
valid,3
valor,3
value,3
valve,3
vapid,4
vapor,4
vault,3
vaunt,5
vegan,4
venom,4
venue,4
verge,4
verse,4
verso,3
verve,4
vicar,4
video,3
vigil,4
vigor,5
villa,3
vinyl,4
viola,3
viper,4
viral,3
virus,4
visit,3
visor,4
vista,3
vital,3
vivid,3
vixen,4
vocal,5
vodka,4
vogue,4
voice,4
voila,3
vomit,3
voter,4
vouch,4
vowel,3
vying,4
wacky,3
wafer,4
wager,4
wagon,4
waist,2
waive,4
waltz,3
warty,4
waste,5
watch,4
water,4
waver,5
waxen,4
weary,3
weave,4
wedge,4
weedy,4
weigh,4
weird,4
welch,3
welsh,3
wench,4
whack,4
whale,4
wharf,4
wheat,3
wheel,5
whelp,4
where,4
which,4
whiff,4
while,4
whine,4
whiny,4
whirl,3
whisk,3
white,4
whole,4
whoop,4
whose,4
widen,3
wider,3
widow,4
width,4
wield,4
wight,4
willy,4
wimpy,4
wince,5
winch,4
windy,4
wiser,3
wispy,4
witch,5
witty,5
woken,3
woman,4
women,4
woody,4
wooer,3
wooly,3
woozy,4
wordy,4
world,3
worry,3
worse,3
worst,3
worth,4
would,3
wound,5
woven,5
wrack,4
wrath,3
wreak,4
wreck,3
wrest,3
wring,4
wrist,3
write,3
wrong,4
wrote,4
wrung,4
wryly,4
yacht,3
yearn,4
yeast,4
yield,5
young,4
youth,4
zebra,3
zesty,3
zonal,3
